site,id,elev_mean
lassen,28052914,1419.9524408427544
lassen,28050312,1658.1510245992645
lassen,28073016,1392.8500152279632
lassen,29053210,1713.408911682129
lassen,28051801,1685.8315157430627
lassen,28062612,1467.6289994772035
lassen,28042310,1712.271753156962
lassen,29072715,1715.0191325930919
lassen,28050211,1663.1237939989967
lassen,29071809,1580.6394703099634
lassen,29072714,1672.110962312551
lassen,28063215,1613.1683700462884
lassen,28051112,1678.073755416521
lassen,29053509,1757.183338607595
lassen,28050716,1688.3651890110325
lassen,28051101,1627.8166720906243
lassen,28052004,1647.352978743906
lassen,28062404,1440.4184061832145
lassen,28052504,1496.6600768491999
lassen,29063207,1692.61595273609
lassen,28063206,1512.3130200820708
lassen,28053110,1381.3474252319336
lassen,28051502,1627.3160972349592
lassen,28062211,1534.911526474656
lassen,28052014,1401.8018205309547
lassen,28051803,1764.7043206402261
lassen,28062110,1508.8042891810894
lassen,29063014,1796.4277729011671
lassen,28052203,1450.5829814254616
lassen,28041605,1652.4761432327387
lassen,28041612,1517.0971826241662
lassen,28041012,1726.4202417539282
lassen,29052613,1798.4507150325014
lassen,28040305,1394.5106741007091
lassen,28050902,1516.7689569181691
lassen,28040903,1487.3791043699396
lassen,28060616,1763.465007407393
lassen,28040306,1412.4613751015968
lassen,28051706,1639.3549313678423
lassen,29052605,1779.4030040475257
lassen,28041610,1741.2916831842388
lassen,28040234,1494.0554026545617
lassen,28041116,1591.8796974980246
lassen,28041109,1617.6907129610036
lassen,28051710,1599.0218367474934
lassen,28052709,1472.572779721724
lassen,28062408,1380.996242940512
lassen,29053116,1549.247435191321
lassen,28041508,1725.2553480040353
lassen,28071911,1375.2123960441136
lassen,28052801,1462.0919056700889
lassen,28061802,1652.3912984872404
lassen,28053305,1576.6600666509964
lassen,28043616,1487.9890371540093
lassen,29053312,1688.1593000280711
lassen,29072608,1692.4376258121663
lassen,28042415,1643.1348116456854
lassen,28050910,1522.0861672429064
lassen,28050905,1543.0164750689048
lassen,29053332,1618.8856264495457
lassen,29063211,1817.1617741361576
lassen,28050212,1686.9646474933097
lassen,29052709,1786.9328029624985
lassen,28053313,1657.6783659747116
lassen,28052711,1540.4532171251271
lassen,29062911,1608.931466153188
lassen,29052601,1658.2033579089739
lassen,28073011,1416.275756072631
lassen,28073009,1379.3899864223333
lassen,28041309,1691.8908185774906
lassen,28061415,1540.3504350131338
lassen,29052707,1768.0560673702862
lassen,29063306,1609.9168404368318
lassen,28042208,1732.524705126442
lassen,28060731,1755.6221724200698
lassen,29052905,1723.9624671216282
lassen,28052406,1533.5378300974382
lassen,29063213,1759.3867966940452
lassen,29053413,1673.1277186346654
lassen,28041216,1770.66562139491
lassen,28051012,1440.1940661975452
lassen,28053107,1370.145567907721
lassen,29052404,1577.4803839286403
lassen,28053207,1367.403376107264
lassen,28050308,1686.3089231026368
lassen,29053502,1799.2070687219052
lassen,28062513,1418.9919837696848
lassen,28052216,1438.8654195913684
lassen,28052310,1543.8058740720228
lassen,29063115,1745.854653112273
lassen,28050215,1668.2293901167193
lassen,28041516,1740.744859845369
lassen,28052206,1415.6859933404137
lassen,29052710,1795.1338488042775
lassen,28042312,1660.4430495463146
lassen,28063511,1472.5298272271425
lassen,28051314,1530.907692272968
lassen,29053212,1660.1102915843603
lassen,29053209,1716.7662474728875
lassen,28041001,1582.3433711064326
lassen,28041008,1583.3899076801945
lassen,28073008,1373.1861484059184
lassen,28053009,1460.7618939208985
lassen,28041114,1591.7550888671874
lassen,28040308,1503.685730987845
lassen,29063132,1801.4498838017325
lassen,28050916,1446.7520103300149
lassen,28050903,1570.8958594267351
lassen,29061711,1692.0624548293692
lassen,28042405,1657.1201121334443
lassen,28050906,1514.80224181167
lassen,29053415,1622.6085255889739
lassen,29043501,1631.6952942769478
lassen,29053507,1772.891802672886
lassen,29062905,1620.607614491623
lassen,28051102,1655.3229774718172
lassen,28052302,1656.5312419222607
lassen,28043409,1546.8905184326172
lassen,28052911,1403.0861630673642
lassen,29061810,1628.0236209259397
lassen,29063131,1797.6395212758737
lassen,28041111,1571.0356684594606
lassen,28052712,1556.84645260394
lassen,28052315,1501.7271013825307
lassen,28061801,1660.6859314967412
lassen,29063034,1799.6154766533318
lassen,28051306,1543.716552174134
lassen,28042205,1634.644807878
lassen,29043604,1628.2428902156025
lassen,28040906,1662.6882093785923
lassen,28052112,1418.8377968054217
lassen,28042202,1761.0455229909796
lassen,28053106,1392.7824261279322
lassen,28052305,1577.3896455972501
lassen,28042107,1429.6024352332447
lassen,28062002,1526.1641791505672
lassen,28063101,1514.6832230502666
lassen,28041609,1730.848709952535
lassen,28040215,1633.7762736893628
lassen,28060212,1452.0810432174073
lassen,28052903,1406.7702378481404
lassen,28073033,1406.4294538848253
lassen,28061102,1448.607615916698
lassen,28041615,1632.860256697438
lassen,28042604,1504.735677143884
lassen,28041515,1733.235239548456
lassen,28040112,1769.2861265604201
lassen,29052614,1822.4504203553174
lassen,28050715,1716.5708445326786
lassen,28051005,1445.793049908299
lassen,29062410,1534.7513383380233
lassen,28062710,1471.5884235406988
lassen,28061138,1472.9373390274818
lassen,29061713,1578.4063329385529
lassen,29063110,1764.3862403861976
lassen,29053306,1685.043682255262
lassen,28051931,1713.9324424230613
lassen,28051406,1660.6985591123982
lassen,29063008,1582.8468339528897
lassen,28051307,1578.5331741549664
lassen,28052906,1393.8855845815674
lassen,28042506,1584.1967743105627
lassen,28051210,1670.2102097349273
lassen,28053210,1419.5946963829817
lassen,28062516,1418.639628371913
lassen,28043506,1513.632190655197
lassen,28042505,1609.087291162629
lassen,28061612,1683.5085364220674
lassen,28042211,1610.6778835847722
lassen,28052005,1625.9055413848725
lassen,28052503,1494.93202935791
lassen,29042210,1596.763963007832
lassen,28073204,1380.2687888520966
lassen,28073116,1395.6974249677696
lassen,29063315,1540.2136200374373
lassen,28043604,1438.3746779226458
lassen,28042215,1553.6657602601872
lassen,28041506,1706.5440635896673
lassen,28041502,1730.2235004450217
lassen,28042311,1720.354619015363
lassen,29042609,1576.7764725198942
lassen,28042409,1547.743693313374
lassen,28061833,1648.1893357222725
lassen,28041113,1606.6964768441726
lassen,29042716,1430.665830087732
lassen,28052716,1501.577737476179
lassen,28063105,1620.9238469672337
lassen,28063103,1533.7834856288152
lassen,29042706,1513.7525015699048
lassen,28062613,1468.4978832242975
lassen,28040816,1656.0963168127935
lassen,28040313,1576.530180116246
lassen,28040311,1505.724292814873
lassen,28043609,1466.5824184013543
lassen,29053208,1710.6898048343514
lassen,28052806,1539.7113451375142
lassen,29042110,1774.0836905596634
lassen,28062708,1476.2477931602327
lassen,28063034,1502.2514693762153
lassen,28062502,1417.6435699388999
lassen,28040409,1406.991887769512
lassen,28073010,1404.996796011137
lassen,29053006,1693.401103393108
lassen,28061407,1475.5454576568964
lassen,28051407,1646.2124893904322
lassen,28052208,1515.5472491653939
lassen,28040207,1687.1755445830677
lassen,29063007,1583.5680416303062
lassen,28040115,1790.5234518138286
lassen,29042807,1701.6436113695254
lassen,28042410,1654.8388233231312
lassen,28050912,1463.2029070964857
lassen,28041009,1591.6195757650503
lassen,29062712,1495.4535444086591
lassen,28052908,1531.181136424177
lassen,28071934,1389.004735767598
lassen,29053315,1658.488648968754
lassen,28051514,1496.7005123704334
lassen,28043607,1435.4248608903217
lassen,29063205,1826.3891712477562
lassen,29063109,1784.3495911043053
lassen,28051505,1459.8316790313118
lassen,28062101,1627.6402011609723
lassen,28043601,1408.9594314112808
lassen,29052602,1713.3586494019312
lassen,28052201,1527.1215173951102
lassen,28040331,1423.9098002768292
lassen,28073108,1404.0342827948418
lassen,28040108,1613.3160136337822
lassen,29052505,1703.7001581710674
lassen,28050909,1525.179216259022
lassen,28073213,1393.4263810793084
lassen,28051414,1648.9544159146847
lassen,29052607,1771.488849937545
lassen,28062102,1607.6169786732694
lassen,28052009,1446.2689334617417
lassen,28062507,1422.6600188990274
lassen,28041602,1737.7472720700323
lassen,29052615,1820.8240656729981
lassen,29043509,1702.3291796440544
lassen,29063303,1661.9033590969473
lassen,28041205,1702.2668760033857
lassen,28042201,1759.396869494192
lassen,29062812,1652.8875452333384
lassen,29063107,1773.9000314637158
lassen,28053032,1463.8984468460083
lassen,28052910,1438.4830678430876
lassen,28073014,1411.3029266899155
lassen,28052706,1457.1204514189394
lassen,28073131,1413.0580641904564
lassen,28051008,1677.2727101364555
lassen,28062509,1408.892574012802
lassen,28063213,1746.5187881612053
lassen,29071713,1602.4336276655438
lassen,28043403,1669.0285211714245
lassen,28042306,1767.6530254750194
lassen,28051808,1685.9991500974013
lassen,28041701,1544.5110558805
lassen,28051903,1705.7267418378665
lassen,29052502,1588.0054278763314
lassen,28052001,1455.9800217019458
lassen,28051507,1622.3070059894867
lassen,29063208,1641.8862193657137
lassen,29063304,1617.0655553987383
lassen,28043615,1497.2433374439308
lassen,29052611,1816.3204692951683
lassen,28051513,1432.0047489464932
lassen,28071933,1378.905701310238
lassen,29053414,1660.382704058327
lassen,28052003,1636.4177600879386
lassen,28042103,1411.0917079363796
lassen,29063215,1762.2365010056687
lassen,28042710,1637.1783655415004
lassen,29062915,1597.9224646916343
lassen,29053411,1626.2315718326663
lassen,28040312,1447.7379815175818
lassen,28050812,1556.2006512180324
lassen,29072710,1682.0629446241592
lassen,29063506,1477.6145194447192
lassen,28041204,1775.8936824964271
lassen,29063313,1645.426511169152
lassen,28052902,1436.0121171579658
lassen,28061711,1552.2237574036244
lassen,28041614,1516.8240005136615
lassen,28042709,1554.6265697582348
lassen,29062913,1633.2239253848777
lassen,28053312,1625.892146801659
lassen,28050333,1676.4756735486294
lassen,28052604,1444.0263559850373
lassen,28053114,1481.2228511449557
lassen,28042008,1243.7350526302769
lassen,28052802,1479.4765825890752
lassen,28060732,1696.2239051041602
lassen,28051516,1611.7401755532399
lassen,28040908,1677.1023308389465
lassen,29052911,1625.1803501498314
lassen,28043613,1478.4869053397113
lassen,28072904,1372.666015625
lassen,29053007,1722.5101571409339
lassen,28042112,1258.4765540025467
lassen,29063316,1488.6359723409016
lassen,28050811,1477.1761817503511
lassen,29063202,1631.8235120370632
lassen,28050311,1664.794941659013
lassen,29053009,1606.7604809186846
lassen,28061416,1466.324597209794
lassen,28040316,1590.9079437114444
lassen,28052006,1613.2575614098275
lassen,28042214,1572.3639091390744
lassen,29043605,1682.641230860473
lassen,28062510,1417.4965906269647
lassen,28040213,1555.0900407325564
lassen,28040206,1587.2144401730516
lassen,28073211,1385.8467510108362
lassen,28051405,1660.5401627009094
lassen,29063114,1760.8208426951167
lassen,28042504,1636.7167619888523
lassen,28041102,1619.273384510112
lassen,28042716,1610.7425179108905
lassen,29063510,1459.5365535967683
lassen,29061806,1718.5332400050117
lassen,28042807,1672.059505813509
lassen,28050711,1717.9734116461339
lassen,28041505,1733.1757225093984
lassen,29061807,1729.1651627322362
lassen,28062409,1385.2488649768616
lassen,28050431,1655.00791050011
lassen,28043416,1544.249452617381
lassen,28042309,1691.6065233682234
lassen,29061815,1642.1517477804541
lassen,28062106,1540.6314032740847
lassen,28062611,1454.6260885763998
lassen,29053206,1708.8583826922857
lassen,28052011,1481.7580956005659
lassen,28052312,1504.500575560024
lassen,28041601,1746.162166782294
lassen,28042110,1430.0198093509127
lassen,29053511,1628.2918653266374
lassen,29063116,1747.490294947535
lassen,28073103,1411.9874362528294
lassen,28040916,1745.7893856341464
lassen,28072912,1372.671275072835
lassen,28051506,1590.5739585474919
lassen,29043416,1405.846111418709
lassen,28052207,1438.808694345535
lassen,29062705,1511.6539649369429
lassen,28051716,1494.8403996114794
lassen,28051411,1664.9212633875047
lassen,28051302,1638.4655668683065
lassen,28041611,1589.4224185021428
lassen,28050306,1679.2143343446096
lassen,28053115,1421.727928242011
lassen,29043503,1533.8351186316784
lassen,28063107,1600.4594092771938
lassen,28073031,1399.3155045521814
lassen,28053602,1542.4562059877292
lassen,28040107,1710.4198848190347
lassen,28052415,1524.0966588765307
lassen,28042009,1237.6969424908536
lassen,28062111,1504.2514598238074
lassen,28051310,1554.0860401486207
lassen,29053412,1660.1542181860425
lassen,29052914,1636.784059460222
lassen,28040315,1619.6689404500419
lassen,28052202,1500.2720020288464
lassen,28042404,1695.6251940269228
lassen,28061310,1389.2109477885242
lassen,28072911,1372.666015625
lassen,28052807,1525.4818585495134
lassen,29043606,1583.4769592596879
lassen,28051832,1757.231767973326
lassen,28062305,1619.1509815698985
lassen,28050210,1679.766205731113
lassen,28040901,1609.495069940227
lassen,28051104,1685.7467401592548
lassen,28051908,1592.7932441193218
lassen,28061811,1622.1479508555876
lassen,28050214,1670.8765886849674
lassen,28051108,1570.1542721992248
lassen,28042302,1705.271410468073
lassen,28041405,1709.8957431280214
lassen,28041203,1772.8504212816456
lassen,29042801,1602.8635014006281
lassen,29062706,1516.415432762319
lassen,28043603,1421.7622682193767
lassen,29052512,1739.6223583646129
lassen,28041110,1574.5443911239593
lassen,28042315,1677.2203463040864
lassen,28062511,1427.6763633997214
lassen,28052913,1484.2731079223877
lassen,28051901,1662.6884606615574
lassen,29061712,1692.4082979273583
lassen,28040212,1543.6621343520953
lassen,28062508,1407.7372972269948
lassen,29062302,1576.8247724545547
lassen,28041716,1332.0884275358867
lassen,29062415,1530.354513792865
lassen,28063503,1467.1849312827226
lassen,29053102,1612.4423277661795
lassen,28042705,1721.5803981359215
lassen,28040110,1789.8990769217883
lassen,29053304,1651.562718060862
lassen,28062506,1426.8766592087284
lassen,28052502,1508.6360689068936
lassen,28050807,1523.759544913899
lassen,29053513,1604.1108546653033
lassen,28041504,1729.8097956294632
lassen,29052314,1653.166693953679
lassen,28052613,1493.7654248579458
lassen,28062716,1466.468005868597
lassen,28052912,1477.6118888549804
lassen,29052604,1767.6906124636962
lassen,28042610,1474.7558111685012
lassen,28041107,1601.042753538284
lassen,28050310,1669.133668668484
lassen,28052007,1544.4609327263006
lassen,29072007,1549.7587561239031
lassen,29043511,1528.2495822991182
lassen,28063205,1538.9683933371364
lassen,29052503,1629.8651209256413
lassen,29071810,1570.8501789091029
lassen,28051714,1641.5773827150872
lassen,29042516,1477.9857128162676
lassen,28052601,1498.5559284779872
lassen,28060711,1761.4430129874465
lassen,28042702,1539.5544037170846
lassen,28041016,1626.547286779263
lassen,29053506,1697.4838524233671
lassen,28050709,1661.3179847476356
lassen,28052010,1452.167921978324
lassen,28062116,1502.2781615031515
lassen,29053505,1704.0208382208566
lassen,28040205,1526.3408109777115
lassen,28042108,1480.1581331628342
lassen,29052701,1756.1740200609597
lassen,28041607,1759.4626885735659
lassen,28062512,1426.6627126052997
lassen,28041215,1745.5196629606742
lassen,28041303,1675.3922376064145
lassen,28040911,1738.723945303137
lassen,29042212,1639.4186444634945
lassen,28041501,1707.046733588975
lassen,29043507,1644.1093695746529
lassen,28060214,1427.9369556690656
lassen,28061431,1504.0471512153708
lassen,28040111,1784.5789175228197
lassen,28073032,1400.3391739847666
lassen,28050408,1657.1181602948977
lassen,28063408,1470.7364784259655
lassen,28051704,1655.9052025841886
lassen,28062003,1537.061219061865
lassen,28052412,1545.686965037465
lassen,28041007,1628.8383651470438
lassen,28042307,1723.8045234114197
lassen,28042216,1537.6219427806884
lassen,28051416,1611.0316262374945
lassen,29062912,1603.9603800234916
lassen,28053111,1435.9461813534008
lassen,28051209,1716.375731066223
lassen,28042411,1672.75954767268
lassen,28051113,1674.6458215756784
lassen,28062107,1545.9303841829046
lassen,28050305,1656.4636743826459
lassen,28052016,1394.712740069546
lassen,28051705,1655.8096382742924
lassen,28051809,1700.0743428935602
lassen,28050913,1423.1038177014595
lassen,28052915,1381.6662609247135
lassen,28041206,1771.0901662045728
lassen,28050816,1465.7942529546635
lassen,29063033,1790.971872724725
lassen,28072906,1372.666015625
lassen,28042708,1511.2855735752896
lassen,28042606,1475.3530026506003
lassen,28052414,1515.8464910559592
lassen,28043612,1494.1365690938628
lassen,28073134,1419.0705000777339
lassen,29053503,1795.6631633176642
lassen,28050332,1650.9934939213865
lassen,28042402,1588.170612679361
lassen,29063134,1790.575217523976
lassen,28062707,1478.7749747873468
lassen,28052810,1538.6576522056503
lassen,28051408,1628.9494477296005
lassen,28061101,1425.2112643024113
lassen,29052902,1788.8866179898748
lassen,29053216,1700.0008718516572
lassen,29043513,1445.8598530591985
lassen,28051807,1717.6848025039444
lassen,28051315,1550.2172555052969
lassen,28041507,1723.779406755531
lassen,29042613,1482.6809694201138
lassen,28042113,1274.5113250441777
lassen,28043411,1639.1681544189453
lassen,28052602,1468.4022357086637
lassen,28062803,1500.250466216606
lassen,28052013,1435.7179633107914
lassen,28051701,1487.148351928711
lassen,29042510,1487.3958876005197
lassen,28051409,1631.07266345257
lassen,28053031,1452.190573253652
lassen,28053134,1485.7066086371417
lassen,29063101,1806.022857635283
lassen,28050710,1692.417423693339
lassen,28052805,1543.987513287894
lassen,28040314,1608.725634245214
lassen,28040109,1716.4118951000007
lassen,28042116,1645.613638935026
lassen,28051815,1693.63130569458
lassen,28041010,1626.7262428437207
lassen,29053314,1690.2698558293118
lassen,28051016,1659.6131473863493
lassen,28050213,1690.7477840156996
lassen,28051907,1577.1251401905963
lassen,28051308,1670.5204162755044
lassen,28040334,1405.0925507011489
lassen,28061710,1589.7094025016136
lassen,28041606,1721.8265685463666
lassen,28042808,1722.7085449814215
lassen,28042209,1631.0867580613644
lassen,29063108,1814.2427887955332
lassen,28042802,1539.460498868502
lassen,29063201,1614.7084820836214
lassen,28041403,1604.382184400626
lassen,28073206,1374.6698889934914
lassen,28043505,1526.6279405716018
lassen,28073107,1409.652975121092
lassen,28052316,1527.0960916920158
lassen,28073006,1410.1647226979267
lassen,29042213,1591.650927038922
lassen,28052808,1512.6847590002644
lassen,28061107,1458.5302676558495
lassen,29043613,1758.011229123093
lassen,28043610,1487.9793967706257
lassen,29063311,1592.8583482480906
lassen,29053008,1706.7688759283371
lassen,28042115,1489.6098770372796
lassen,29062914,1625.5031723720178
lassen,28041104,1569.0214592571524
lassen,29061714,1650.548478831258
lassen,28052814,1494.249427393863
lassen,28051010,1637.8740918458254
lassen,29043508,1655.0426657475775
lassen,28051205,1556.947766678194
lassen,29042610,1617.044906646189
lassen,28052916,1398.50305102171
lassen,28043501,1428.508752859829
lassen,28040114,1769.0263942728213
lassen,28072905,1372.666015625
lassen,28052612,1449.3820628310464
lassen,28043511,1484.5351623716988
lassen,28062515,1414.1419779369053
lassen,28042316,1667.3887025411545
lassen,28042104,1343.081788274724
lassen,29063212,1799.817408482767
lassen,28041416,1681.8935257004862
lassen,28041013,1741.0554451358284
lassen,28041315,1624.2968089661376
lassen,28051511,1580.4554115690557
lassen,29043504,1447.4612540613596
lassen,28051106,1679.1793149954935
lassen,28050432,1673.554242796539
lassen,28040106,1755.7098299734039
lassen,28073003,1392.395542079875
lassen,29061811,1636.0254014621648
lassen,28061715,1560.1864503798017
lassen,29052612,1807.270568219661
lassen,28051707,1575.3379505882895
lassen,28052307,1628.1633416433183
lassen,28043602,1413.3944488818681
lassen,28042706,1659.9476775453475
lassen,28052811,1496.7561915994108
lassen,28062213,1511.4341036712487
lassen,28051403,1652.042039566115
lassen,29060716,1779.0474389361214
lassen,28052204,1408.076183972058
lassen,28041305,1609.948737623054
lassen,29053101,1629.1621590980133
lassen,29052603,1740.5061307803605
lassen,28062503,1429.2595866501933
lassen,29052515,1704.2841240743253
lassen,29042207,1699.8431754276671
lassen,28062416,1390.072104499193
lassen,29052316,1641.3368113425927
lassen,28051215,1669.0888763350474
lassen,28051305,1591.1461559330369
lassen,29053508,1801.6379156700423
lassen,28053132,1400.08032997335
lassen,28042801,1677.581108620062
lassen,28040909,1743.0499396135265
lassen,29063111,1795.3744462669795
lassen,29062906,1603.4825245033046
lassen,29053510,1707.6908957016528
lassen,28053133,1444.20889898192
lassen,29053516,1643.4188174940664
lassen,29053202,1686.98990522549
lassen,29053010,1602.7758884321504
lassen,28040211,1588.376971453516
lassen,29063106,1785.8654802349251
lassen,28042105,1290.801587382438
lassen,28040907,1683.479423990807
lassen,28053131,1423.8236285324413
lassen,28062001,1559.3124045493819
lassen,29061902,1603.551908734684
lassen,28043414,1670.123523122018
lassen,28051413,1610.314199608221
lassen,28052515,1504.479499078566
lassen,28053208,1457.6507112136994
lassen,29043502,1633.485275828094
lassen,28040912,1708.574023180017
lassen,28073205,1387.3305192331109
lassen,28061204,1409.1129091796874
lassen,29042703,1539.1705211292613
lassen,29062401,1616.1751316899838
lassen,29053201,1666.648131834959
lassen,28073001,1372.666015625
lassen,28062709,1469.80309720181
lassen,28050206,1649.8501807378582
lassen,28051914,1511.7008842670098
lassen,29072006,1462.844004517246
lassen,28073007,1389.1653022326323
lassen,29053205,1699.2132999846583
lassen,28051109,1561.1129822393862
lassen,28051708,1461.45641147525
lassen,29042101,1746.162512213156
lassen,28061810,1590.58673640495
lassen,28051412,1642.0970763707596
lassen,28041004,1633.7952035188118
lassen,28053014,1411.335682516989
lassen,29063133,1779.7111779508423
lassen,28063031,1508.130198037504
lassen,28073132,1419.1143588753635
lassen,29052609,1767.87804728249
lassen,28073101,1403.9168269653321
lassen,28042607,1515.8400155459242
lassen,29053504,1795.8903245832953
lassen,28040214,1579.5731319323588
lassen,29043506,1512.4634148905595
lassen,28062114,1498.4053624164628
lassen,29042611,1610.1811350192265
lassen,28051015,1631.3476028249818
lassen,28043410,1616.6165590593891
lassen,28052209,1477.9793020710313
lassen,29052708,1776.2956328512716
lassen,28052313,1480.365353598015
lassen,29042615,1622.5783583379425
lassen,28041310,1660.0232603507427
lassen,28052304,1604.3412976881593
lassen,28050915,1446.5384229630988
lassen,29053107,1606.7198684540035
lassen,29063009,1597.0102215623
lassen,28051501,1643.9491633241353
lassen,28040413,1355.875860626069
lassen,28060714,1739.8916814990655
lassen,28063401,1467.291196079416
lassen,29062310,1550.2133529655327
lassen,28062214,1509.491931632096
lassen,29053309,1676.5710492969342
lassen,28051715,1592.6869830708886
lassen,28040415,1443.2168557398852
lassen,28051816,1681.1089091890965
lassen,28051933,1527.0367155105937
lassen,28051105,1673.1721763630214
lassen,29062411,1548.2140152421516
lassen,28062701,1474.4495150502792
lassen,29042704,1567.2895794930544
lassen,28040915,1740.4682398222046
lassen,28040910,1733.210384565606
lassen,28073115,1390.6077445495305
lassen,29053405,1606.5026174926759
lassen,28041406,1671.2320949431892
lassen,28042303,1742.1766188327904
lassen,29042209,1510.0143802591606
lassen,29042205,1714.4372152102067
lassen,29042214,1555.1580390625
lassen,28042206,1695.0533003426049
lassen,28041511,1702.2943339645299
lassen,28051814,1719.2360511167974
lassen,28061803,1648.8325709325163
lassen,29053311,1669.8178640323385
lassen,29062813,1640.3684747129878
lassen,28051702,1483.7924734011951
lassen,29053211,1705.7634945411066
lassen,28061135,1469.1414616739082
lassen,28043605,1492.4380789395298
lassen,28042414,1625.4527019852712
lassen,28061613,1621.827218844848
lassen,28040116,1774.9824423337116
lassen,28041503,1728.5142422991594
lassen,28040332,1398.7693298039178
lassen,29052715,1783.8775481487985
lassen,28051508,1646.0357896666487
lassen,28052303,1634.1444379305378
lassen,29053408,1669.580811598672
lassen,29042208,1585.1852167457903
lassen,28051833,1748.8123792465194
lassen,28041003,1641.9711510195202
lassen,29042116,1625.6301850700183
lassen,28041608,1733.8642407413643
lassen,28053215,1477.7414957682292
lassen,28040914,1745.5977333928652
lassen,29063312,1642.9817132685484
lassen,29062414,1548.1758186606655
lassen,28050914,1418.2703619942995
lassen,28073102,1412.6342934342867
lassen,29052315,1644.6321304801882
lassen,28063504,1469.886934447672
lassen,28051902,1686.676502491717
lassen,28041011,1670.3679698988972
lassen,29042612,1512.0148832961402
lassen,28053304,1529.9208861694335
lassen,28052705,1489.7009524881958
lassen,28062806,1512.1925858663496
lassen,29061801,1753.5894629947554
lassen,28051509,1640.3856081900783
lassen,29062306,1563.4170005977362
lassen,28052704,1432.9573687929096
lassen,28042703,1625.00864536022
lassen,28043614,1494.9431924197272
lassen,29052608,1732.45110438615
lassen,28051003,1470.8034374903118
lassen,29062909,1604.3773596392923
lassen,28052907,1457.2601341517995
lassen,28041210,1741.0426930139813
lassen,28041415,1708.0992640868647
lassen,28053109,1368.569552733394
lassen,28052008,1471.0176937148058
lassen,29053313,1714.3505907883825
lassen,28040232,1680.2851658416644
lassen,28050801,1539.9673679523016
lassen,28040414,1402.5700939019205
lassen,28073002,1375.90640211273
lassen,28052308,1592.2345751441962
lassen,28051201,1724.6689267202523
lassen,28052715,1536.3692334594728
lassen,28073034,1408.714019599727
lassen,29072711,1678.5419706304021
lassen,29053305,1705.7955221203902
lassen,28051934,1485.6477478982563
lassen,28052002,1574.500618946309
